id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
Q16190381,Catalino Duarte Ortuño,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16194084,Cecilia González Gómez,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16195543,Celia Isabel Gauna Ruiz,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16149925,Cesario Padilla Navarro,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q15379224,Cinthya Valladares Couoh,,,PAN,pan,,Chamber of Deputies,62,,,,female
Q16213930,Claudia Delgadillo González,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16146538,Claudia Elena Aguila,,,PRD,prd,,Chamber of Deputies,62,,,,female
Q16190181,Claudia Elizabeth Bojórquez,,,PRD,prd,,Chamber of Deputies,62,,,,female
Q16147511,Consuelo Argüelles Loya,,,PAN,pan,,Chamber of Deputies,62,,,,female
Q16214427,Cristina González Cruz,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16185510,Cristina Olvera Barrios,,,PANAL,panal,,Chamber of Deputies,62,,,,female
